,FX_ID,P4,REND1,REND2,SEXO,ESCOLARIDADE,P1A,P1B,P1C,RACA,RELIGIAO,REGIAO,COND,P2_1,P3_1
297,35 A 44,Alguma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,FEM,Superior completo,Não,Não,Não,Branca,Evangélica - Não sabe especificar,SUL,INTERIOR,Ampliar os espaços de participação política da população,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
298,25 A 34,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,3ª série,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Branca,Outras Evangélicas específicas,SUDESTE,INTERIOR,Melhorar a qualidade da educação,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
299,35 A 44,Alguma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,Superior completo,Sim,Sim,Sim,Parda,Outros,SUDESTE,INTERIOR,Melhorar a qualidade da educação,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
300,25 A 34,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,3ª série,Não,Não,Não,Preta,Católica Apostólica Romana,CENTRO OESTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
301,65 E MAIS,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,Outros,Não,Sim,Sim,Parda,Católica Apostólica Romana,CENTRO OESTE,INTERIOR,Incentivar a geração de empregos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
302,25 A 34,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,FEM,4ª série (ou 5º ano),Não,Não,Não,Branca,Católica Apostólica Romana,SUL,INTERIOR,Não sabe/ Não respondeu,Não sabe/ Não respondeu
303,65 E MAIS,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,FEM,Superior completo,Não,Não,Não,Branca,É religioso mas não segue nenhuma/ Agnóstico,SUDESTE,PERIFERIA,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
304,45 A 54,Alguma vontade,MAIS DE 2 A 5,MAIS DE 5 A 10,MAS,3ª série,Sim,Sim,Sim,Branca,Outras Evangélicas específicas,SUDESTE,INTERIOR,Melhorar a qualidade da educação,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
305,25 A 34,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,Superior completo,Sim,Sim,Sim,Branca,É religioso mas não segue nenhuma/ Agnóstico,SUL,INTERIOR,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
306,25 A 34,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,3ª série,Não,Não,Não,Preta,Outros,NORDESTE,CAPITAL,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
307,25 A 34,Nenhuma vontade,MAIS DE 5 A 10,MAIS DE 10 A 20,FEM,Superior completo,Não,Não,Não,Branca,É religioso mas não segue nenhuma/ Agnóstico,SUDESTE,INTERIOR,Reduzir as desigualdades sociais,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
308,35 A 44,Alguma vontade,MAIS DE 2 A 5,MAIS DE 5 A 10,MAS,Superior completo,Sim,Sim,Sim,Branca,Outros,SUDESTE,INTERIOR,Preservar os valores ligados à família,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
309,45 A 54,Muita vontade,ATÉ 1,ATÉ 1,FEM,Outros,Não,Não,Sim,Branca,Católica Apostólica Romana,NORDESTE,CAPITAL,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
310,25 A 34,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,3ª série,Não,Não,Não,Parda,Católica Apostólica Romana,NORDESTE,INTERIOR,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
311,65 E MAIS,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,FEM,Outros,Não,Sim,Não,Parda,Católica Apostólica Romana,NORDESTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
312,65 E MAIS,Muita vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,FEM,3ª série,Não,Não,Não,Parda,Assembléia de Deus,NORDESTE,PERIFERIA,Defender a igualdade entre homens e mulheres,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
313,35 A 44,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,Superior completo,Sim,Sim,Sim,Branca,Católica Apostólica Romana,SUDESTE,CAPITAL,Melhorar a qualidade da educação,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
314,65 E MAIS,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,MAS,Superior incompleto,Outros,Outros,Outros,Parda,Outros,SUDESTE,PERIFERIA,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
315,45 A 54,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,MAS,3ª série,Não,Não,Não,Parda,Católica Apostólica Romana,SUDESTE,INTERIOR,Preservar os valores ligados à família,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos"
316,65 E MAIS,Alguma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,3ª série,Não,Não,Não,Preta,Católica Apostólica Romana,SUDESTE,CAPITAL,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
317,18 A 24,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,MAS,3ª série,Não,Não,Não,Parda,Católica Apostólica Romana,SUL,PERIFERIA,Melhorar a qualidade da educação,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
318,18 A 24,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,FEM,2ª série,Não,Não,Não,Parda,Outras Evangélicas específicas,CENTRO OESTE,INTERIOR,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
319,55 A 64,Alguma vontade,ATÉ 1,ATÉ 1,MAS,8ª série (ou 9º ano),Sim,Sim,Não,Parda,Católica Apostólica Romana,SUDESTE,PERIFERIA,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
320,25 A 34,Nenhuma vontade,MAIS DE 5 A 10,MAIS DE 5 A 10,MAS,Outros,Sim,Não,Sim,Branca,Outros,SUDESTE,PERIFERIA,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
321,65 E MAIS,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,Outros,Não votou em 2022 (Esp.),Sim,Não,Parda,Católica Apostólica Romana,SUDESTE,PERIFERIA,Não sabe/ Não respondeu,Não sabe/ Não respondeu
322,35 A 44,Alguma vontade,ATÉ 1,ATÉ 1,FEM,3ª série,Não,Não,Não,Parda,Católica Apostólica Romana,SUDESTE,CAPITAL,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
323,55 A 64,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,MAS,8ª série (ou 9º ano),Sim,Sim,Sim,Branca,Católica Apostólica Romana,SUDESTE,INTERIOR,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
324,65 E MAIS,Nenhuma vontade,MAIS DE 5 A 10,MAIS DE 5 A 10,MAS,Superior completo,Sim,Sim,Sim,Branca,Outros,SUDESTE,INTERIOR,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
325,18 A 24,Nenhuma vontade,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,FEM,3ª série,Sim,Sim,Sim,Parda,Outros,SUL,PERIFERIA,Melhorar a qualidade da saúde,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
326,65 E MAIS,Nenhuma vontade,ATÉ 1,MAIS DE 2 A 5,FEM,Outros,Não,Não,Não,Parda,Católica Apostólica Romana,CENTRO OESTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
327,25 A 34,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,Outros,Não,Não,Não,Branca,Católica Apostólica Romana,NORDESTE,INTERIOR,Não sabe/ Não respondeu,Não sabe/ Não respondeu
328,18 A 24,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 5 A 10,MAS,3ª série,Não,Não,Não,Parda,Outros,SUDESTE,INTERIOR,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
329,25 A 34,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,8ª série (ou 9º ano),Não,Não,Não,Parda,Assembléia de Deus,SUDESTE,INTERIOR,Melhorar a qualidade da educação,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
330,45 A 54,Muita vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,3ª série,Sim,Sim,Sim,Parda,Evangélica - Não sabe especificar,SUDESTE,CAPITAL,Ampliar os espaços de participação política da população,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
331,18 A 24,Alguma vontade,ATÉ 1,MAIS DE 1 A 2,MAS,Superior incompleto,Sim,Sim,Não,Branca,Outros,SUDESTE,CAPITAL,Reduzir as desigualdades sociais,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
332,45 A 54,Nenhuma vontade,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,FEM,Outros,Não,Não,Não,Branca,Católica Apostólica Romana,NORDESTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
333,65 E MAIS,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,Outros,Não,Não,Não,Parda,Assembléia de Deus,NORDESTE,CAPITAL,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
334,35 A 44,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,FEM,Superior completo,Sim,Sim,Sim,Parda,Outros,SUDESTE,INTERIOR,Incentivar a geração de empregos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros"
335,55 A 64,Nenhuma vontade,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,MAS,Outros,Não,Não,Não,Parda,Assembléia de Deus,NORDESTE,CAPITAL,Preservar os valores ligados à família,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros"
336,35 A 44,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,Superior incompleto,Sim,Sim,Não,Branca,Assembléia de Deus,SUDESTE,INTERIOR,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
337,45 A 54,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,4ª série (ou 5º ano),Não,Não,Não,Branca,Católica Apostólica Romana,SUDESTE,INTERIOR,Reduzir a violência,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
338,45 A 54,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 5 A 10,MAS,Superior completo,Não,Não,Não,Preta,Católica Apostólica Romana,SUDESTE,CAPITAL,Melhorar a qualidade da educação,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
339,25 A 34,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,MAS,Superior completo,Não,Sim,Não votou em 2022 (Esp.),Parda,Católica Apostólica Romana,NORDESTE,INTERIOR,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
340,25 A 34,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,4ª série (ou 5º ano),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Branca,É religioso mas não segue nenhuma/ Agnóstico,SUL,INTERIOR,Preservar os valores ligados à família,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
341,25 A 34,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,4ª série (ou 5º ano),Sim,Sim,Sim,Parda,Católica Apostólica Romana,NORTE,INTERIOR,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
342,55 A 64,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,Outros,Não,Não,Não,Parda,Outras Evangélicas específicas,SUDESTE,INTERIOR,Preservar os valores ligados à família,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
343,35 A 44,Alguma vontade,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,FEM,3ª série,Não,Não,Não,Parda,Assembléia de Deus,NORTE,CAPITAL,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
344,18 A 24,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,3ª série,Sim,Sim,Não,Parda,Assembléia de Deus,NORTE,INTERIOR,Incentivar a geração de empregos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
345,65 E MAIS,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,Outros,Não,Não,Não,Parda,Outras Evangélicas específicas,SUL,INTERIOR,Incentivar a geração de empregos,Não sabe/ Não respondeu
346,25 A 34,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,FEM,Superior completo,Não,Não,Não,Parda,Católica Apostólica Romana,CENTRO OESTE,INTERIOR,Preservar os valores ligados à família,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos"
347,35 A 44,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,3ª série,Sim,Sim,Sim,Branca,Evangélica - Não sabe especificar,SUDESTE,CAPITAL,Incentivar a geração de empregos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
348,25 A 34,Nenhuma vontade,MAIS DE 5 A 10,MAIS DE 5 A 10,MAS,Superior completo,Sim,Sim,Sim,Branca,Outros,SUDESTE,CAPITAL,Aumentar os impostos de grandes fortunas (ou dos mais ricos),Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
349,35 A 44,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,3ª série,Não,Não,Não,Parda,É religioso mas não segue nenhuma/ Agnóstico,NORDESTE,PERIFERIA,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
350,45 A 54,Muita vontade,ATÉ 1,MAIS DE 1 A 2,FEM,3ª série,Sim,Sim,Sim,Preta,Assembléia de Deus,SUL,INTERIOR,Melhorar a qualidade da educação,Não sabe/ Não respondeu
351,55 A 64,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,FEM,Superior completo,Sim,Não votou em 2022 (Esp.),Sim,Branca,Católica Apostólica Romana,SUL,INTERIOR,Melhorar a qualidade da educação,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
352,35 A 44,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,Outros,Não,Não,Não,Parda,Católica Apostólica Romana,NORDESTE,INTERIOR,Melhorar a qualidade da educação,Não sabe/ Não respondeu
353,65 E MAIS,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,Outros,Não,Não,Não,Branca,Assembléia de Deus,NORDESTE,CAPITAL,Preservar os valores ligados à família,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
354,45 A 54,Muita vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,3ª série,Não,Não,Não,Branca,Outros,SUDESTE,CAPITAL,Ampliar os espaços de participação política da população,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
355,25 A 34,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,FEM,3ª série,Não,Não,Não,Preta,Assembléia de Deus,SUDESTE,INTERIOR,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
356,25 A 34,Muita vontade,ATÉ 1,ATÉ 1,MAS,3ª série,Sim,Sim,Não,Parda,Católica Apostólica Romana,SUDESTE,INTERIOR,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
357,18 A 24,Alguma vontade,MAIS DE 2 A 5,MAIS DE 5 A 10,MAS,3ª série,Sim,Sim,Não,Preta,É religioso mas não segue nenhuma/ Agnóstico,SUL,INTERIOR,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
358,25 A 34,Alguma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,Superior incompleto,Sim,Sim,Não,Branca,Evangélica - Não sabe especificar,SUL,INTERIOR,Incentivar a geração de empregos,Não sabe/ Não respondeu
359,25 A 34,Nenhuma vontade,MAIS DE 5 A 10,MAIS DE 10 A 20,FEM,Superior completo,Sim,Sim,Sim,Branca,Católica Apostólica Romana,SUDESTE,INTERIOR,Melhorar a qualidade da educação,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
360,45 A 54,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 5 A 10,MAS,3ª série,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Sim,Branca,Católica Apostólica Romana,SUDESTE,INTERIOR,Incentivar a geração de empregos,Não sabe/ Não respondeu
361,35 A 44,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,Superior completo,Não,Não,Não,Branca,Católica Apostólica Romana,SUDESTE,INTERIOR,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
362,18 A 24,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,FEM,3ª série,Não,Sim,Não,Branca,Católica Apostólica Romana,NORDESTE,INTERIOR,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)","Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
363,35 A 44,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,Superior incompleto,Não,Não,Não,Parda,Outros,NORTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
364,25 A 34,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,FEM,2ª série,Não,Não,Não,Parda,Outras Evangélicas específicas,SUDESTE,INTERIOR,Melhorar a qualidade da saúde,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
365,18 A 24,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,Outros,Não,Não,Não,Branca,É religioso mas não segue nenhuma/ Agnóstico,NORDESTE,PERIFERIA,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
366,35 A 44,Nenhuma vontade,MAIS DE 10 A 20,MAIS DE 20,MAS,Superior completo,Sim,Sim,Sim,Parda,Outros,SUDESTE,INTERIOR,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
367,55 A 64,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,4ª série (ou 5º ano),Não,Não,Não,Parda,Católica Apostólica Romana,NORDESTE,CAPITAL,Incentivar a geração de empregos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
368,25 A 34,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,3ª série,Sim,Sim,Sim,Branca,Católica Apostólica Romana,NORDESTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
369,55 A 64,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,Outros,Não,Não,Não,Parda,Católica Apostólica Romana,SUDESTE,INTERIOR,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
370,45 A 54,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,FEM,3ª série,Não,Não,Não,Branca,Católica Apostólica Romana,SUDESTE,INTERIOR,Melhorar a qualidade da educação,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros"
371,45 A 54,Alguma vontade,ATÉ 1,MAIS DE 1 A 2,MAS,8ª série (ou 9º ano),Não,Não,Não,Branca,Católica Apostólica Romana,SUDESTE,INTERIOR,Melhorar a qualidade da saúde,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
372,45 A 54,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,Outros,Não,Não,Não,Parda,Outros,SUDESTE,PERIFERIA,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)","Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
373,65 E MAIS,Alguma vontade,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,FEM,8ª série (ou 9º ano),Não,Não,Não,Branca,Católica Apostólica Romana,SUDESTE,CAPITAL,Melhorar a qualidade da educação,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
374,25 A 34,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,2ª série,Não,Não,Não,Parda,Outros,NORDESTE,INTERIOR,Reduzir as desigualdades sociais,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
375,65 E MAIS,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,FEM,Outros,Não,Não,Não,Parda,Católica Apostólica Romana,NORDESTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
376,25 A 34,Nenhuma vontade,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,FEM,3ª série,Sim,Sim,Sim,Parda,Católica Apostólica Romana,NORDESTE,INTERIOR,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
377,45 A 54,Muita vontade,MAIS DE 2 A 5,MAIS DE 5 A 10,MAS,3ª série,Sim,Sim,Sim,Outros,Outras Evangélicas específicas,NORDESTE,CAPITAL,Melhorar a qualidade da educação,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
378,25 A 34,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,Outros,Não,Não,Não,Branca,Católica Apostólica Romana,SUL,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
379,18 A 24,Nenhuma vontade,ATÉ 1,MAIS DE 2 A 5,MAS,Superior incompleto,Não,Não,Não,Branca,Católica Apostólica Romana,SUL,INTERIOR,Incentivar a geração de empregos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
380,45 A 54,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,Outros,Não,Não,Não,Branca,Católica Apostólica Romana,SUDESTE,INTERIOR,Incentivar a geração de empregos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
381,65 E MAIS,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,Outros,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Branca,Outros,SUDESTE,INTERIOR,Reduzir a violência,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos"
382,25 A 34,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,FEM,Superior incompleto,Não,Não,Não,Branca,Outros,SUDESTE,INTERIOR,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
383,25 A 34,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,4ª série (ou 5º ano),Não,Não,Não,Preta,Católica Apostólica Romana,CENTRO OESTE,INTERIOR,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)","Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
384,45 A 54,Muita vontade,MAIS DE 5 A 10,MAIS DE 10 A 20,MAS,Superior completo,Sim,Sim,Sim,Parda,Católica Apostólica Romana,CENTRO OESTE,CAPITAL,Preservar os valores ligados à família,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
385,35 A 44,Alguma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,FEM,Superior completo,Sim,Sim,Sim,Branca,Católica Apostólica Romana,SUL,INTERIOR,Melhorar a qualidade da saúde,Não sabe/ Não respondeu
386,45 A 54,Alguma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,Superior completo,Sim,Sim,Sim,Branca,É religioso mas não segue nenhuma/ Agnóstico,SUL,INTERIOR,Incentivar a geração de empregos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
387,55 A 64,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,8ª série (ou 9º ano),Não,Não,Não,Parda,Outros,CENTRO OESTE,INTERIOR,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
